English,Characters,Pīnyīn
Afghanistan,阿富汗,Āfùhàn
Albania,阿尔巴尼亚,Ā'ěrbāníyǎ
Algeria,阿尔及利亚,Ā'ěrjílìyà
American Samoa,美属萨摩亚,Měishǔ Sàmóyǎ
Andorra,安道尔,Āndào'ěr
Angola,安哥拉,Āngēlā
Anguilla,安圭拉岛,Ānguīlā Dǎo
Antarctica,南极洲,Nánjízhōu
Antigua and Barbuda,安提瓜和巴布达,Āntíguā hé Bābùdá
Argentina,阿根廷,Āgēntíng
Armenia,亚美尼亚,Yàměiníyà
Aruba,阿鲁巴岛,Ālǔbā Dǎo
Australia,澳大利亚,Àodàlìyà
Austria,奥地利,Àodìlì
Azerbaijan,阿塞拜疆,Āsàibàijiāng
"Bahamas, The",巴哈马,Bāhāmǎ
Bahrain,巴林,Bālín
Bangladesh,孟加拉国,Mèngjiālāguó
Barbados,巴巴多斯,Bābāduōsī
Belarus,白俄罗斯,Bái'èluósī
Belgium,比利时,Bǐlìshí
Belize,伯利兹,Bólìzī
Benin,贝宁,Bèiníng
Bermuda,百慕大,Bǎimùdà
Bhutan,不丹,Bùdān
Bolivia,玻利维亚,Bōlìwéiyà
Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,Bōsīníyà hé Hēisāigēwéinà
Botswana,博茨瓦纳,Bócíwǎnà
Brazil,巴西,Bāxī
British Indian Ocean Territory,英属印度洋领地,Yīngshǔ Yìndùyáng Lǐngdì
British Virgin Islands,英属维尔京群岛,Yīngshǔ Wéi'ěrjīng Qúndǎo
Brunei,文莱,Wénlái
Bulgaria,保加利亚,Bǎojiālìyà
Burkina Faso,布基纳法索,Bùjīnàfǎsuǒ
Burma,缅甸,Miǎndiàn
Burundi,布隆迪,Bùlóngdí
Cambodia,柬埔寨,Jiǎnpǔzhài
Cameroon,喀麦隆,Kāmàilóng
Canada,加拿大, Jiānádà 
Cape Verde,佛得角,Fódéjiǎo
Cayman Islands,开曼群岛,Kāimàn Qúndǎo
Central African Republic,中非共和国,Zhōng Fēi Gònghéguó
Chad,乍得,Zhàdé
Chile,智利,Zhìlì
China,中国,Zhōngguó
Christmas Island,圣诞岛,Shèngdàn Dǎo
Clipperton Island,克利珀顿岛,Kèlìpòdùn Dǎo
Cocos (Keeling) Islands,科科斯（基林）群岛,Kēkēsī (Jīlín) Qúndǎo
Colombia,哥伦比亚,Gēlúnbǐyà
Comoros,科摩罗,Kēmóluó
"Congo, Democratic Republic of the",刚果民主共和国,Gāngguǒ Mínzhǔ Gònghéguó
"Congo, Republic of the",刚果共和国,Gāngguǒ Gònghéguó
Cook Islands,库克群岛,Kùkè Qúndǎo
Coral Sea Islands,珊瑚海群岛,Shānhúhǎi Qúndǎo
Costa Rica,哥斯达黎加,Gēsīdálíjiā
Cote d'Ivoire,科特迪瓦,Kētèdíwǎ
Croatia,克罗地亚,Kèluódìyà
Cuba,古巴,Gǔbā
Cyprus,塞浦路斯,Sàipǔlùsī
Czech Republic,捷克共和国,Jiékè Gònghéguó
Denmark,丹麦,Dānmài
Djibouti,吉布地,Jíbùtì
Dominica,多米尼克,Duōmǐníkè
Dominican Republic,多明尼加共和国,Duōmíngníjiā Gònghéguó
Ecuador,厄瓜多尔,Èguāduō'ěr
Egypt,埃及,Āijí
El Salvador,萨尔瓦多,Sà'ěrwǎduō
Equatorial Guinea,赤道几内亚,Chìdào Jǐnèiyà
Eritrea,厄立特里亚,Èlìtèlǐyà
Estonia,爱沙尼亚,Àishāníyà
Ethiopia,埃塞俄比亚,Āisài'ébǐyà
Europa Island,欧罗巴岛,Ōuluóbā Dǎo
Falkland Islands ,福克兰群岛,Fúkèlán Qúndǎo
Faroe Islands,法罗群岛,Fǎluó Qúndǎo
Fiji,斐济,Fěijì
Finland,芬兰,Fēnlán
France,法国,Fǎguó
French Guiana,法属圭亚那,Fǎshǔ Guīyànà
French Polynesia,法属波利尼西亚,Fǎshǔ Bōlìníxīyà
Gabon,加蓬,Jiāpéng
Gambia,冈比亚,Gāngbǐyà
Georgia,乔治亚,Qiáozhìyà
Germany,德国,Déguó
Ghana,加纳,Jiānà
Gibraltar,直布罗陀,Zhíbùluótuó
Glorioso Islands,格洛里厄斯群岛,Géluòlǐ‘èsī Qúndǎo
Greece,希腊,Xīlà
Greenland,格陵兰,Gélínglán
Grenada,格林纳达,Gélínnàdá
Guadeloupe,瓜德罗普岛,Guādéluópǔ Dǎo
Guam,关岛,Guāndǎo
Guatemala,危地马拉,Wēidìmǎlā
Guernsey,根西岛,Gēnxīdǎo
Guinea,几内亚,Jǐnèiyà
Guinea-Bissau,几内亚比绍,Jǐnèiyà-Bǐshào
Guyana,圭亚那,Guīyǎnà
Haiti,海地,Hǎidì
Holy See (Vatican City),罗马教廷（梵蒂冈城）,Luómǎjiàotíng (Fàndìgāngchéng)
Honduras,洪都拉斯,Hóngdūlāsī
Hungary,匈牙利,Xiōngyálì
Iceland,冰岛,Bīngdǎo
India,印度,Yìndù
Indonesia,印度尼西亚,Yìndùníxīyà
Iran,伊朗,Yīlǎng
Iraq,伊拉克,Yīlākè
Ireland,爱尔兰,Ài'ěrlán
Isle of Man,马恩岛,Mǎ'ēn Dǎo
Israel,以色列,Yǐsèliè
Italy,意大利,Yìdàlì
Jamaica,牙买加,Yámǎijiā
Jan Mayen,扬马延岛,Yángmǎyán Dǎo
Japan,日本,Rìběn
Jersey,泽西岛,Zéxī Dǎo
Jordan,约旦,Yuēdàn
Juan de Nova Island,新胡安岛,Xīnhú'ān Dǎo
Kazakhstan,哈萨克斯坦,Hāsàkèsītǎn
Kenya,肯尼亚,Kěnníyà
Kiribati,基里巴斯,Jīlǐbāsī
Kuwait,科威特,Kēwēitè
